phase,ts_ns,dt_us,in_waiting
start,319692879160792,2.9,124
drain_begin,319692889162901,10002.1,124
drain_end,319692889293753,10133.0,0
start,319692977915995,2.8,124
drain_begin,319692987917529,10001.5,124
drain_end,319692987999803,10083.8,0
start,319693077128364,2.8,124
drain_begin,319693087129641,10001.3,124
drain_end,319693087186187,10057.8,0
start,319693176199448,2.8,124
drain_begin,319693186202486,10003.0,124
drain_end,319693186250263,10050.8,0
start,319693275529516,2.9,124
drain_begin,319693285531754,10002.2,124
drain_end,319693285574923,10045.4,0
start,319693372320760,3.0,124
drain_begin,319693382321301,10000.5,124
drain_end,319693382387831,10067.1,0
start,319693484966536,2.8,124
drain_begin,319693494967845,10001.3,124
drain_end,319693495017287,10050.8,0
start,319693577276179,2.9,124
drain_begin,319693587276369,10000.2,124
drain_end,319693587320402,10044.2,0
start,319693676345472,2.8,124
drain_begin,319693686347741,10002.3,124
drain_end,319693686384862,10039.4,0
start,319693776484651,2.8,124
drain_begin,319693786487304,10002.7,124
drain_end,319693786529514,10044.9,0
